"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"0.1uf","desc","C1,C2,","C_0603_1608Metric","libref","2","2","","",
"10uf","desc","C3,","C_0603_1608Metric","libref","2","1","","",
"Conn_01x02_Male","desc","J1,J3,","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","libref","4","2","","",
"Conn_01x07_Female","desc","J4,","PinSocket_1x07_P1.00mm_Vertical_SMD_Pin1Left","libref","7","1","","",
"Conn_01x07_Female","desc","J5,","JST_PH_S7B-PH-SM4-TB_1x07-1MP_P2.00mm_Horizontal","libref","9","1","","",
"1.2k","desc","R1,","C_0603_1608Metric","libref","2","1","","",
"100R","desc","R2,","C_0603_1608Metric","libref","2","1","","",
"1k","desc","R3,","C_0603_1608Metric","libref","2","1","","",
"TP4056","desc","U1,","TP4056_SOP-8-PP","libref","9","1","","",
"DW01","desc","U2,","SOT-23-6_Handsoldering","libref","6","1","","",
"FS8205A","desc","U3,","TSSOP-8_4.4x3mm_P0.65mm","libref","8","1","","",
"Through Hole Items ",
"SW_DIP_x01","desc","SW1,","SW_SPDT_CK-JS102011SAQN","libref","5","1","","",
